x,y
1,74.3421
2,72.7217
3,72.2654
4,73.2195
5,73.5774
6,73.0428
7,73.0663
8,73.3683
9,73.0006
10,72.6855
11,72.2815
12,72.3446
13,72.9177
14,73.1566
15,73.1738
16,72.3071
17,72.089
18,71.4485
19,71.2475
20,70.8048
21,70.3341
22,70.5078
23,70.2296
24,70.1864
25,70.5493
26,70.7118
27,70.7849
28,72.1086
29,72.8792
30,72.9265
31,72.2282
32,71.1692
33,71.266
34,71.0732
35,71.4915
36,71.6058
37,71.5706
38,71.2694
39,70.8791
40,70.9339
41,70.9246
42,71.286
43,70.8922
44,70.7002
45,70.8643
46,71.7602
47,72.1617
48,72.8805
49,72.3591
50,73.0375
51,72.8784
52,72.0711
53,72.3216
54,72.4434
55,71.9826
56,71.2287
57,70.3388
58,70.6772
59,70.6284
60,70.4772
61,70.4337
62,69.6756
63,69.4687
64,69.598
65,69.7674
66,70.0987
67,70.1629
68,69.852
69,69.2537
70,70.204
71,69.4702
72,69.7913
73,68.7798
74,68.8049
75,68.6822
76,68.2166
77,68.0477
78,67.726
79,67.3552
80,67.105
81,66.7996
82,66.9738
83,67.4835
84,68.2208
85,68.6402
86,69.2856
87,70.0874
88,69.8236
89,69.1584
90,68.6362
91,68.3665
92,68.4521
93,68.8291
94,69.2821
95,69.2132
96,70.7638
97,70.4345
98,70.4324
99,70.8375
100,70.6382
101,69.4431
102,70.7122
103,69.4202
104,70.5324
105,70.1024
106,70.7641
107,69.5883
108,69.4321
109,68.824
110,68.2939
111,68.763
112,68.825
113,68.4763
114,68.2284
115,67.9255
116,68.0765
117,67.7223
118,67.5728
119,67.6791
120,67.5478
121,67.5546
122,67.7192
123,67.592
124,67.4877
125,67.5031
126,67.3525
127,66.8063
128,66.8167
129,66.941
130,66.7276
131,66.4871
132,66.6235
133,66.4983
134,65.8622
135,65.9277
136,65.4221
137,65.2631
138,65.5286
139,65.55
140,65.6292
141,66.5352
142,66.2346
143,65.5367
144,65.2438
145,65.1701
146,65.1982
147,65.3534
148,65.8309
149,65.474
150,66.0632
151,66.1473
152,66.1275
153,66.9028
154,68.462
155,67.6639
156,67.8087
157,67.0854
158,67.0832
159,67.6169
160,67.3498
161,67.7137
162,67.9105
163,67.621
164,66.7976
165,66.7901
166,67.2335
167,67.0819
168,66.9414
169,66.667
170,66.7873
171,66.5684
172,66.7299
173,66.6536
174,66.75
175,66.6397
176,66.707
177,66.6119
178,66.7685
179,66.6429
180,66.6383
181,67.1135
182,67.2143
183,67.0194
184,67.6276
185,67.8225
186,67.3578
187,67.3864
188,67.161
189,67.1575
190,67.172
191,66.9924
192,66.7044
193,66.3294
194,66.2174
195,66.2464
196,66.391
197,66.5493
198,66.6595
199,66.5263
200,66.2237
201,66.3587
202,66.0914
203,66.571
204,66.2244
205,66.0148
206,66.8625
207,66.7579
208,66.5485
209,66.1583
210,66.1515
211,65.5344
212,65.1614
213,65.4177
214,64.9483
215,65.6093
216,65.5908
217,65.2977
218,65.034
219,64.926
220,64.2981
221,63.4604
222,63.4367
223,63.2968
224,63.3189
225,62.4148
226,62.2264
227,62.2494
228,62.1196
229,62.2477
230,62.1954
231,61.7408
232,61.0057
233,61.3745
234,62.0808
235,62.0283
236,62.1329
237,62.9017
238,62.7828
239,62.8859
240,63.0994
241,62.5039
242,62.4065
243,62.9624
